500 ; 9 3 9 6 12 12 12 6 6 12 ; 91 65 61 51 18 0 
501 ; 6 0 6 6 15 15 9 8 9 9 15 ; 76 73 63 26 6 
502 ; 3 3 9 5 11 12 9 12 0 ; 88 85 75 35 12 0 
503 ; 0 0 12 2 14 15 6 9 3 0 ; 96 87 45 19 5 
504 ; 15 3 9 6 3 ; 56 27 11 0 
505 ; 0 6 9 3 0 ; 68 35 17 6 0 
506 ; 6 12 6 3 ; 80 43 24 12 5 
507 ; 6 15 9 6 ; 93 51 32 19 11 0 
508 ; 6 12 6 0 ; 60 41 26 18 6 0 
509 ; 6 15 9 3 0 ; 70 51 33 26 12 5 0 
510 ; 3 12 6 3 0 ; 80 61 40 35 19 10 5 
511 ; 0 15 9 3 3 0 ; 90 71 47 44 27 15 10 0 
512 ; 12 3 6 3 ; 82 55 44 36 21 16 5 0 
513 ; 15 6 9 3 ; 93 63 54 46 28 22 11 6 
514 ; 6 12 6 ; 71 64 57 36 28 17 13 
515 ; 9 15 9 15 0 ; 79 75 69 45 35 23 21 
516 ; 12 9 12 3 15 ; 87 87 81 55 43 30 21 0 
517 ; 15 12 12 6 12 15 ; 96 99 94 66 52 38 30 6 0 
518 ; 15 12 9 9 12 15 0 ; 78 62 47 40 13 6 0 
519 ; 9 12 9 12 12 3 0 ; 91 73 57 50 21 12 5 
520 ; 9 15 9 12 9 3 3 15 ; 85 68 61 29 19 10 0 
521 ; 9 6 12 6 3 6 12 ; 98 79 72 38 27 16 5 
522 ; 6 3 9 3 6 9 12 ; 91 84 48 35 23 10 
523 ; 6 0 6 0 6 9 9 15 0 ; 97 59 44 31 16 
524 ; 6 6 9 12 6 12 3 ; 70 53 40 22 0 
525 ; 6 6 9 15 4 9 6 15 ; 81 63 49 28 5 
526 ; 6 3 9 1 6 9 12 0 ; 93 74 59 35 11 0 
527 ; 3 0 12 3 9 9 3 0 ; 86 69 43 18 6 0 
528 ; 0 15 0 12 6 6 3 15 ; 98 80 52 26 13 5 0 
529 ; 15 3 9 6 12 0 ; 92 61 34 21 11 6 0 
530 ; 0 12 9 9 3 0 ; 71 43 30 17 12 6 
531 ; 15 12 6 6 3 0 ; 82 53 39 23 19 13 0 
532 ; 15 6 6 3 3 0 ; 93 64 49 29 27 21 6 
533 ; 3 6 6 3 3 0 ; 76 60 36 36 29 12 
534 ; 0 6 8 3 6 3 0 ; 89 71 43 46 35 19 0 
535 ; 9 11 3 9 3 3 15 ; 83 51 57 42 26 6 0 
536 ; 12 14 6 12 4 3 12 0 ; 95 59 68 50 33 13 5 
537 ; 15 6 15 4 3 9 3 0 ; 67 80 58 40 21 11 
538 ; 6 7 6 9 6 3 0 ; 76 93 67 47 30 17 
539 ; 6 10 9 6 9 6 3 15 0 ; 86 77 55 40 24 
540 ; 8 13 9 3 9 6 6 12 3 15 0 ; 97 87 64 50 31 
541 ; 11 12 0 10 9 6 9 6 12 3 15 ; 98 74 61 39 0 
542 ; 14 15 13 9 9 6 9 12 6 12 15 ; 84 73 48 6 
543 ; 12 9 3 9 12 9 9 12 15 0 ; 95 86 58 12 0 
